Sample,Site,Sample Replicate,Date set,Date collected,Collector,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Distance from water (m),HOBO tracker #,HOBO deployment date ,HOBO deployment time ,Temp C (Sweep),Relative Humidity (Sweep),DEWpt degrees C (sweep) ,Collection time period,Perservative,Notes,SHIPPING INFO,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,When sorted,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,,,,,,,
CBAY0150,Construction Shop 2,Haphazard 1,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.126152,-105.043931,21,Lentic,Mail,N/A,22332997,23-Jul-25,10:38,11.42,61.51,4.3,3 mins,75 ml of 100% ETOH,Sweep net haphazardly for 3 mins,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0153,Creek at end of Pelly Road,Sample 2,N/A,23-Jul-25,L. Chan,Sweep net,69.204162,-104.774428,21,Lotic,Mail,12,22332997,23-Jul-25,14:29,11.29,58.52,3.56,3 mins,75 ml of 100% ETOH,"Rocky with low lying veg, lichen and other small plants, some grasses but not many, overall more rocky and dry here ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,,,,,,,,,,,,,,,
CBAY0154,Outside of CHARS lab,Opportunistic ,N/A,24-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.120979,-105.042507,84,Terrestrial,Mail,N/A,22332997,24-Jul-25,15:13,13.49,53.74,4.31,N/A,75 ml of 100% ETOH,On the bench outside of CHARS lab building; got many mosquitoes especially off Tad,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,38,0,38,0,never sorted in 96-well plate,CBAY_0154_M_H,N/A,CBAY_0154_M_B,N/A,,,,,,,,
CBAY0155,Creek at end of Pelly Road,Sample 1,N/A,24-Jul-25,S. Dworatzek,Sweep net,69.204162,-104.774428,21,Lotic,Mail,1-5,22332997,24-Jul-25,12:21,12.26,55.76,3.69,5 mins,75 ml of 100% ETOH,"Lots of bushes with some mossy pactahes but also very rocky (pebble like at shore along river), 
not swampy like lots of puddles just mossy rocky and bushy. ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,1,0,1,0,previously sorted into 96 well plates ,CBAY_0155_M_H,N/A,CBAY_0155_M_B,N/A,,,,,,,,
CBAY0156,Airport Road 1,Sample 4,N/A,25-Jul-25,L. Chan,Sweep net,69.117397,-105.081726,5,Lentic,Mail,40-50,22332997,25-Jul-25,16:52,8.67,67.33,2.97,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Fragmented bushes but mostly tall grass, very wet and swampy","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,1,0,1,0,previously sorted into 96 well plates ,CBAY_0156_M_H,N/A,CBAY_0156_M_B,N/A,,,,,,,,
CBAY0157,Airport Road 1,Sample 2,N/A,27-Jul-25,S. Dworatzek,Sweep net,69.117397,-105.081726,5,Terrestrial,Mail,70-80,22332997,27-Jul-25,2:57,9.61,70,4.41,5 mins,30 ml of 100% ETOH,"Bushes fragmented, ground wet but no puddles, grassy ground but not very tall, not very sunny a little windly but not overly so ","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,2,12,2,12,previously sorted into 96 well plates ,CBAY_0157_M_H,CBAY_0157_BF_H,CBAY_0157_M_B,CBAY_0157_BF_H,,,,,,,,
CBAY0158,Freshwater river,Haphazard 1,N/A,23-Jul-25,"J. Bernhardt, L. Chan, S. Dworatzek",Sweep net,69.143213,-104.945246,12,Lotic,Mail,N/A,22332997,23-Jul-25,15:56,9.79,62.69,3.02,N/A,75 ml of 100% ETOH,"Sweep net haphazardly, multiple sweeps put together","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,1,1,1,1,never sorted in 96-well plate,CBAY_0158_M_H,CBAY_0158_BF_H,CBAY_0158_M_B,CBAY_0158_BF_H,,,,,,,,
CBAY0159,Freshwater river,Sample 1,N/A,23-Jul-25,S. Dworatek,Sweep net,69.143213,-104.945246,12,Lotic,Mail,17.6?,22332997,23-Jul-25,15:46,10.95,58.65,3.18,3 mins,75 ml of 100% ETOH,"Hole in net may have lost some insects on collection, sampled along a 15 m transect, 
did not write down the distance from water!!! - have an estimate of what it was but not completely sure
 (maybe we can go back and measure it again to confirm)
put transect along an area with a lot of bushes but this was not on the point of the river 
and was more windy than the other side, ground was more dry and rocky, 
near a part of the river which moved faster ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0160,Creek at end of Pelly Road,Haphazard 1,N/A,23-Jul-25,"J. Bernhardt, L. Chan, S. Dworatzek",Sweep net,69.204162,-104.774428,21,Lotic,Mail,N/A,22332997,23-Jul-25,14:29,11.29,58.52,3.56,3 mins,75 ml of 100% ETOH,"Sweep net haphazardly, all 3 sweeps put all together","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,1,0,1,0,never sorted in 96-well plate,CBAY_0160_M_H,N/A,CBAY_0160_M_B,N/A,,,,,,,,
CBAY0161,Construction Shop 3,Sample 1,N/A,26-Jul-25,S. Dworatzek,Sweep net,69.125642,-105.035794,-3,Lentic,Mail,0-5,22332997,26-Jul-25,12:12,12.8,66.07,6.71,5 mins,30 ml of 100% ETOH,"Sampled at a different pond nearby (pond 3)
Lots of bushes, some of the bushes are basically gorwing out of the pond but other than that not overly swampy or 
other puddles outside of the pond","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,, ,,,,,,,,,
CBAY0162,River at Swimming hole ,Sample 1,N/A,24-Jul-25,J. Bernhardt,Sweep net,69.12863,-104.98762,ASK TAD,Lotic,Mail,0-5,22332997,24-Jul-25,1:35,13.28,55.4,4.55,5 mins ,75 ml of 100% ETOH,"Really long patch of bushes on one side of the river which was wet in some pacthes with moss but mainly sampling from the bushes, 
Taped up net and brought back to lab to asperate ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,23,29,23,29,never sorted in 96-well plate,CBAY_0162_M_H,CBAY_0162_BF_H,CBAY_0162_M_B,CBAY_0162_BF_B,,,,,,,,
CBAY0163,Sewage-Dump,Sample 4,N/A,26-Jul-25,L. Chan,Sweep net,69.127862,-105.026126,-55,Lentic,Mail,20-25,22332997,26-Jul-25,11:26,10.44,72.68,5.76,5 mins,30 ml of 100% ETOH,"Very windy but not overly cold, sunny;
Elevation does not look right (double check this: waypoint #92)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0164,The Beach,Opportunistic ,N/A,26-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.105362,-105.406782,-1,Terrestrial,Mail,N/A,22332997,26-Jul-25,16:23,13.42,59.05,5.8,5 mins,30 ml of 100% ETOH,Sunny with some winds,"""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,67,1,66,1,never sorted in 96-well plate,CBAY_0164_M_H,CBAY_0164_BF_H,CBAY_0164_M_B,CBAY_0164_BF_B,,,,,,,,
CBAY0165,River at Swimming hole ,Haphazard 1,N/A,24-Jul-25,T. McIlwraith,Sweep net,69.12863,-104.98762,ASK TAD,Lotic,Mail,N/A,22332997,24-Jul-25,1:35,13.28,55.4,4.55,N/A,75 ml of 100% ETOH,Taped up net and brought back to lab to asperate ,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,8,200,8,200,never sorted in 96-well plate,CBAY_0165_M_H,CBAY_0165_BF_H,CBAY_0165_M_B,CBAY_0165_BF_B,,,,,,,,
CBAY0166,Airport Road 1,Sample 1,N/A,25-Jul-25,S. Dworatzek,Sweep net,69.117397,-105.081726,5,Lentic,Mail,0-5,22332997,25-Jul-25,15:32,7.93,76.31,4.06,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Fragmented bushes; pretty wet and marshy ground with large puddles on the other side of the pond;
Coordinates and elevation does not look correct (see SD's field notebook), 
Use measurements from sample 3 and 4 on the same day here (but the label on the bottle still use the original measurements);
Starting from this day we used 30mL ETOH instead for perserving the bugs since it would be less work when we do the shipping","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,2,0,2,previously sorted into 96 well plates ,N/A,CBAY_0166_BF_H,N/A,CBAY_0166_BF_B,,,,,,,,
CBAY0167,The Beach,Sample 1,N/A,26-Jul-25,L. Chan,Sweep net,69.105362,-105.406782,-1,Terrestrial,Mail,N/A,22332997,26-Jul-25,16:23,13.42,59.05,5.8,5 mins,30 ml of 100% ETOH,"Sunny with some winds;
Took two 5-min samples, but since there was no freshwater nearby;
Sampled in tall grass area, wet ground with divits","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,35,0,35,0,previously sorted into 96 well plates ,CBAY_0167_M_H,N/A,CBAY_0167_M_B,N/A,,,,,,,,
CBAY0169,Sewage-Dump,Sample 2,N/A,24-Jul-25,S. Dworaztek,Sweep net,69.127081,-105.026165,11,Lentic,Mail,20-25,22332997,24-Jul-25,18:21,12.36,60.7,4.99,5 mins ,75 ml of 100% ETOH,lots of bushes,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,4,3,4,3,previously sorted into 96 well plates ,CBAY_0169_M_H,CBAY_0169_BF_H,CBAY_0169_M_B,CBAY_0169_BF_B,,,,,,,,
CBAY0170,Sewage-Dump,Sample 1,N/A,24-Jul-25,L. Chan,Sweep net,69.127081,-105.026165,11,Lentic,Mail,0-5,22332997,24-Jul-25,18:21,12.36,60.7,4.99,5 mins,75 ml of 100% ETOH,lots of bushes but very dry and rocky because it was on a hill (or higher ground) above sample 3 and 4,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0171,Airport Road 2,Sample 2,N/A,25-Jul-25,L. Chan,Sweep net,69.11678,-105.088061,11,Lentic,Mail,40-50,22332997,25-Jul-25,16:08,8.62,71.9,3.81,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Mostly very tall grass, dry ground, some small bushes","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,1,0,1,previously sorted into 96 well plates ,N/A,CBAY_0171_BF_H,N/A,CBAY_0171_BF_B,,,,,,,,
CBAY0172,Sewage-Dump,Sample 3,N/A,24-Jul-25,S. Dworatzek,Sweep net,69.127081,-105.026165,11,Terrestrial,Mail,65-75,22332997,24-Jul-25,18:21,12.36,60.7,4.99,5 mins,75 ml of 100% ETOH,"Lots of bushes, ground very wet and mossy, with some moss patches having lots of absorbed water and some puddles ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,1,0,1,0,previously sorted into 96 well plates ,CBAY_0172_M_H,N/A,CBAY_0172_M_B,N/A,,,,,,,,
CBAY0173,Airport Road 1,Sample 2,N/A,25-Jul-25,L. Chan,Sweep net,69.117397,-105.081726,5,Terrestrial,Mail,70-80,22332997,25-Jul-25,15:32,7.93,76.31,4.06,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Fragmented bushes with a swampy and grassy ground. More bushes than the 0-5m sample
Coordinates and elevation does not look correct (see SD's field notebook),
Use measurements from sample 3 and 4 on the same day here (but the label on the bottle still use the original measurements);","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,5,0,5,previously sorted into 96 well plates ,N/A,CBAY_0173_BF_H,N/A,CBAY_0173_BF_B,,,,,,,,
CBAY0174,Sewage-Dump,Sample 4,N/A,24-Jul-25,L. Chan,Sweep net,69.127081,-105.026165,11,Lentic,Mail,20-25,22332997,24-Jul-25,18:21,12.36,60.7,4.99,5 mins,75 ml of 100% ETOH,Sweep net broke during sampling; many trash in the bushes,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,1,0,1,0,previously sorted into 96 well plates ,CBAY_0174_M_H,N/A,CBAY_0174_M_B,N/A,,,,,,,,
CBAY0175,Sewage-Dump,Opportunistic ,N/A,24-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.127087,-105.026165,11,Lentic,Mail,N/A,22332997,24-Jul-25,18:21,12.36,60.7,4.99,N/A,75 ml of 100% ETOH,not very many mosquitoes because it got windier right when we got to the sampling location,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,4,0,4,0,previously sorted into 96 well plates ,CBAY_0175_M_H,N/A,CBAY_0175_M_B,N/A,,,,,,,,
CBAY0176,Airport Road 1,Sample 3,N/A,25-Jul-25,S. Dworatzek,Sweep net,69.117397,-105.081726,5,Lentic,Mail,25-35,22332997,25-Jul-25,16:52,8.67,67.33,2.97,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Fragmented bushes, tall grass, very wet and swampy ground with puddles","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,5,0,5,previously sorted into 96 well plates ,N/A,CBAY_0176_BF_H,N/A,CBAY_0176_BF_B,,,,,,,,
CBAY0177,First Creek,Opportunistic ,N/A,26-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.13284,-105.463245,-5,Lotic,Mail,N/A,22332997,26-Jul-25,15:09,15.95,53.33,6.69,5 mins,30 ml of 100% ETOH,"Date of sampling is sunny with some breezes;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 22","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,41,0,41,0,previously sorted into 96 well plates ,CBAY_0177_M_H,N/A,CBAY_0177_M_B,N/A,,,,,,,,
CBAY0178,Airport Road 2,Sample 1,N/A,25-Jul-25,S. Dworatzek,Sweep net,69.11678,-105.088061,11,Lentic,Mail,15-25,22332997,25-Jul-25,16:08,8.62,71.9,3.81,5 mins,30 ml of 100% ETOH,"Date of sampling is very cold and windy;
Only tall grass which was lighter in colour (brown);
Ground very wet with orangish mud","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,1,0,1,0,previously sorted into 96-well plates ,CBAY_0178_M_H,N/A,CBAY_0178_M_B,N/A,,,,,,,,
CBAY0181,Sewage-Dump,Sample 3,N/A,26-Jul-25,S. Dworatzek,Sweep net,69.127862,-105.026126,-55,Lentic,Mail,0-5,22332997,26-Jul-25,11:26,10.44,72.68,5.76,5 mins,30 ml of 100% ETOH,"Very windy but not overly cold, sunny;
Elevation does not look right (double check this: waypoint #92)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,1,0,1,0,previously sorted into 96-well plates ,CBAY_0181_M_H,N/A,CBAY_0181_M_B,N/A,,,,,,,,
CBAY0182,First Creek,Sample 2,N/A,26-Jul-25,L. Chan,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,5-10,22332997,26-Jul-25,15:09,15.95,53.33,6.69,5 mins,30 ml of 100% ETOH,"Date of sampling is sunny with some breezes;
Dry ground, lots of bushes;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 22","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,2,5,2,5,previously sorted into 96-well plates ,CBAY_0182_M_H,CBAY_0182_BF_H,CBAY_0182_M_B,CBAY_0182_BF_B,,,,,,,,
CBAY0183,Airport Road 1,Opportunistic ,N/A,27-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.117397,-105.081726,5,Lentic,Mail,N/A,22332997,27-Jul-25,2:57,9.61,70,4.41,N/A,30 ml of 100% ETOH,not very sunny a little windly but not overly so ,"""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,5,0,4,0,previously sorted into 96-well plates ,CBAY_0183_M_H,N/A,CBAY_0183_M_B,N/A,,,,,,,,
CBAY0184,First Creek,Sample 1,N/A,26-Jul-25,S. Dworatzek,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,0-5,22332997,26-Jul-25,15:09,15.95,53.33,6.69,5 mins,30 ml of 100% ETOH,"Date of sampling is sunny with some breezes;
Bushes next to water edge - along whole edge; ground;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 22","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,17,0,17,previously sorted into 96-well plates ,N/A,CBAY_0184_BF_H,N/A,CBAY_0184_BF_B,,,,,,,,
CBAY0185,Airport Road 2,Sample 2,N/A,27-Jul-25,S. Dworatzek,Sweep net,69.11678,-105.088061,11,Lentic,Mail,40-50,22332997,27-Jul-25,4:07,9.69,65.61,3.61,5 mins,30 ml of 100% ETOH,"Grasses tall and green, some small and fragmented bushes, ground pretty dry","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0186,The Beach,Sample 2,N/A,26-Jul-25,S. Dworatzek,Sweep net,69.105362,-105.406782,-1,Terrestrial,Mail,N/A,22332997,26-Jul-25,16:23,13.42,59.05,5.8,5 mins,30 ml of 100% ETOH,"Sunny with some winds;
Took two 5-min samples, but since there was no freshwater nearby;
Sampled in tall grass area, dry ground","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,33,0,33,0,previously sorted into 96-well plates ,CBAY_0186_M_H,N/A,CBAY_0186_M_B,N/A,,,,,,,,
CBAY0187,Airport Road 2,Opportunistic ,N/A,27-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.11678,-105.088061,11,Lentic,Mail,N/A,22332997,27-Jul-25,4:07,9.69,65.61,3.61,N/A,30 ml of 100% ETOH,not very sunny a little windly but not overly so ,"""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,2,0,2,0,previously sorted into 96-well plates ,CBAY_0187_M_H,N/A,CBAY_0187_M_B,N/A,,,,,,,,
CBAY0188,Sewage-Dump,Sample 1,N/A,26-Jul-25,S. Dworatzek,Sweep net,69.127862,-105.026126,-55,Lentic,Mail,20-25,22332997,26-Jul-25,N/A,11.14,70.04,5.88,5 mins,30 ml of 100% ETOH,"Very windy but not overly cold, sunny;
Very bushy, wet ground with many puddles, a little mossy;
Worried some insects were lost half way through due to net flipping. Really struggled with net snagging in this sample;
Elevation does not look right (double check this: waypoint #92)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0189,Airport Road 1,Sample 1,N/A,27-Jul-25,L. Chan,Sweep net,69.117397,-105.081726,5,Lentic,Mail,0-5,22332997,27-Jul-25,2:57,9.61,70,4.41,5 mins,30 ml of 100% ETOH,"Fragmented bushes, very wet ground with puddles, sample river flowing into water and 
very large puddle on opposite side of sampling almost like a second pond, not very sunny a little windly but not overly so, 
Had to redo sampling because bugs were lost due to flipping of net","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,1,7,1,7,previously sorted into 96-well plates ,CBAY_0189_M_H,CBAY_0189_BF_H,CBAY_0189_M_B,CBAY_0189_BF_B,,,,,,,,
CBAY0190,Sewage-Dump,Sample 2,N/A,26-Jul-25,L. Chan,Sweep net,69.127862,-105.026126,-55,Terrestrial,Mail,65-75,22332997,26-Jul-25,N/A,11.14,70.04,5.88,5 mins,30 ml of 100% ETOH,"Very windy but not overly cold, sunny;
Swampy with many puddles, bushes in patches
Elevation does not look right (double check this: waypoint #92)","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0191,Behind CHARS,Sample 1,N/A,28-Jul-25,S. Dworatzek,Sweep net,69.12031,-105.04631,6,Lentic,Mail,0-10,22332997,28-Jul-25,12:58,13.34,64.97,7.1,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Fragmented bushes near small pond and little creek;
Ground fairly dry where bushes are with tall grass;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 3","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,7,0,7,0,previously sorted into 96-well plates ,CBAY_0191_M_H,N/A,CBAY_0191_M_B,N/A,,,,,,,,
CBAY0193,Dew line Road next to station,Sample 2,N/A,28-Jul-25,L. Chan,Sweep net,69.119079,-105.127321,14,Lentic,Mail,0-5,22332997,28-Jul-25,16:10,14.8,57.09,6.41,5 mins,30 ml of 100% ETOH,"0-5m from eitther pond or creek leaving the pond, wet ground with some puddles, very bushy","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,36,72,33,72,previously sorted into 96-well plates ,CBAY_0193_M_H,CBAY_0193_BF_H,CBAY_0193_M_B,CBAY_0193_BF_B,,,,,,,,
CBAY0194,Dew line Road 1,Sample 1,N/A,28-Jul-25,S. Dworatzek,Sweep net,69.13698,-105.17181,25,Lentic,Mail,15-25,22332997,28-Jul-25,15:22,14.97,55.81,6.24,5 mins,30 ml of 100% ETOH,"Very wet with large puddles in some places, bushes not continuous but not very fragmented either;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 1","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,9,0,9,0,previously sorted into 96-well plates ,CBAY_0194_M_H,N/A,CBAY_0194_M_B,N/A,,,,,,,,
CBAY0195,Dew line Road 1,Opportunistic ,N/A,28-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.13698,-105.17181,25,Lentic,Mail,N/A,22332997,28-Jul-25,15:22,14.97,55.81,6.24,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 1","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,192,0,196,0,never sorted in 96-well plate,CBAY_0195_M_H,,CBAY_0195_M_B,,,,,,,,,
CBAY0196,Behind OPS building in CHARS,Sample 1,N/A,28-Jul-25,S. Dworatzek,Sweep net,69.12205,-105.04109,-7,Lentic,Mail,0,22332997,28-Jul-25,13:48,13.97,60.41,6.43,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Sampled in the pond with some mini evergreen-looking plants",Box 2,Guelph,10,0,10,0,previously sorted into 96-well plates ,CBAY_0196_M_H,N/A,CBAY_0196_M_B,N/A,,,,,,,,
CBAY0197,Dew line Road 1,Sample 2,N/A,28-Jul-25,L. Chan,Sweep net,69.13698,-105.17181,25,Lentic,Mail,0-5,22332997,28-Jul-25,15:22,14.97,55.81,6.24,5 mins,30 ml of 100% ETOH,"Bushes pretty fragmented, dry ground with grasses;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 1","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,7,0,6,0,previously sorted into 96-well plates ,CBAY_0197_M_H,N/A,CBAY_0197_M_B,N/A,,,,,,,,
CBAY0198,Behind CHARS,Sample 2,N/A,28-Jul-25,L. Chan,Sweep net,69.12031,-105.04631,6,Lentic,Mail,25-35,22332997,28-Jul-25,12:58,13.34,64.97,7.1,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Far from pond up hill with some bushes (only 2 or 3), one of them is quite large; 
Ground dry with some grass but not very tall;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 3","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,3,0,3,0,previously sorted into 96-well plates ,CBAY_0198_M_H,N/A,CBAY_0198_M_B,N/A,,,,,,,,
CBAY0200,Dew line Road next to station,Opportunistic ,N/A,28-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.119079,-105.127321,14,Lentic,Mail,N/A,22332997,28-Jul-25,16:10,14.8,57.09,6.41,5 mins,30 ml of 100% ETOH,Partially sunny with some breezes but not windy on the date of sampling,"""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,225,2,225,2,previously sorted into 96-well plates ,CBAY_0200_M_H,CBAY_0200_BF_H,CBAY_0200_M_B,CBAY_0200_BF_B,,,,,,,,
CBAY0201,Dew line Road next to station,Sample 1,N/A,28-Jul-25,S. Dworatzek,Sweep net,69.119079,-105.127321,14,Lentic,Mail,0-5,22332997,28-Jul-25,16:10,14.8,57.09,6.41,5 mins,30 ml of 100% ETOH,"0-5m from eitther pond or creek leaving the pond, wet ground with some puddles, very bushy","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,43,66,41,66,previously sorted into 96-well plates ,CBAY_0201_M_H,CBAY_0201_BF_H,CBAY_0201_M_B,CBAY_0201_BF_B,,,,,,,,
CBAY0202,Dew line Road next to station,Sample 3,N/A,28-Jul-25,S. Dworatzek,Sweep net,69.119079,-105.127321,14,Lentic,Mail,0-10,22332997,28-Jul-25,16:10,14.8,57.09,6.41,5 mins,30 ml of 100% ETOH,"Wet but no puddles, creek running through sampling area","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,96,58,93,58,previously sorted into 96-well plates ,CBAY_0202_M_H,CBAY_0202_BF_H,CBAY_0202_M_B,CBAY_0202_BF_B,,,,,,,,
CBAY0203,Dew line Road next to station,Sample 4,N/A,28-Jul-25,L. Chan,Sweep net,69.119079,-105.127321,14,Lentic,Mail,55-65,22332997,28-Jul-25,16:10,14.8,57.09,6.41,5 mins,30 ml of 100% ETOH,Wet but no puddles,"""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,16,27,16,27,previously sorted into 96-well plates ,CBAY_0203_M_H,CBAY_0203_BF_H,CBAY_0203_M_B,CBAY_0203_BF_B,,,,,,,,
CBAY0204,Behind OPS building in CHARS,Opportunistic ,N/A,28-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.12205,-105.04109,-7,Lentic,Mail,N/A,22332997,28-Jul-25,13:48,13.97,60.41,6.43,5 mins,30 ml of 100% ETOH,Partially sunny with some breezes but not windy on the date of sampling,Box 3,Guelph,80,0,80,0,never sorted in 96-well plate,CBAY_0204_M_H,N/A,CBAY_0204_M_B,N/A,,,,,,,,
CBAY0205,Behind CHARS,Opportunistic ,N/A,28-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.12031,-105.04631,6,Lentic,Mail,N/A,22332997,28-Jul-25,12:58,13.34,64.97,7.1,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on Aug 3","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,60,0,60,0,previously sorted into 96-well plates ,CBAY_0205_M_H,N/A,CBAY_0205_M_B,N/A,,,,,,,,
CBAY0206,Behind OPS building in CHARS,Sample 2,N/A,28-Jul-25,L. Chan,Sweep net,69.12205,-105.04109,-7,Lentic,Mail,0-5,22332997,28-Jul-25,13:48,13.97,60.41,6.43,5 mins,30 ml of 100% ETOH,"Partially sunny with some breezes but not windy on the date of sampling;
Mostly tall grasses with some bush patches",Box 3,Guelph,2,1,2,1,previously sorted into 96-well plates ,CBAY_0206_M_H,CBAY_0206_BF_H,CBAY_0206_M_B,CBAY_0206_BF_B,,,,,,,,
